x,y,,,,,,,,T,,,,ax,ay,az,g1,g2,g3,z
-9.668562,2.223062,,,,,,,,14,,,,2.20506,11.12633,12.44745,0.2263687,0.02370213,-0.2526275,3.24579
-9.656891,2.412354,,,,,,,,14.2,,,,-23.25297,-24.81877,4.781221,-0.002450108,0.1239435,0.05629922,3.22364
-9.644051,2.599463,,,,,,,,14.4,,,,25.96847,20.87074,13.13842,-0.2898052,-0.3458381,-0.1063134,3.19853
-9.626349,2.791799,,,,,,,,14.6,,,,-40.03967,36.30951,18.97932,0.05422196,0.2803243,0.03339604,3.17694
-9.629026,2.962999,,,,,,,,14.8,,,,60.93818,-17.74774,2.679112,0.1431715,-0.1148355,-0.01608549,3.15855
-9.638151,3.146966,,,,,,,,15,,,,-61.05023,19.94418,10.44111,0.04628574,-0.07344998,0.4425641,3.13865
-9.629999,3.340461,,,,,,,,15.2,,,,-18.08005,0.6967127,5.816473,0.161281,0.02631203,-0.04841627,3.11905
-9.625707,3.53577,,,,,,,,15.4,,,,-45.10341,-39.46363,-5.559336,-0.01640507,0.4070908,0.1666606,3.10927
-9.614201,3.72589,,,,,,,,15.6,,,,76.89027,0.3921703,16.78575,0.1083374,0.2264752,-0.01518002,3.11358
-9.590972,3.931836,,,,,,,,15.8,,,,56.62048,-35.72053,4.08786,-0.09763148,-0.1832788,-0.1231446,3.1199
-9.569551,4.136376,,,,,,,,16,,,,-18.39369,31.73036,27.48783,-0.01581918,0.2635997,0.4951349,3.12367
-9.541276,4.34086,,,,,,,,16.2,,,,75.89907,-32.86617,7.871656,0.1301753,0.003515373,0.3399791,3.12135
-9.502641,4.551233,,,,,,,,16.4,,,,-6.583097,24.80393,4.17884,0.07105314,0.3648531,0.373748,3.13652
-9.466731,4.761919,,,,,,,,16.6,,,,21.04934,-2.76674,13.86195,0.0499609,-0.1483913,-0.2443184,3.15883
-9.442131,4.96333,,,,,,,,16.8,,,,-4.165432,-29.30647,8.104852,-0.06657903,-0.04788364,-0.02221076,3.16862
-9.41391,5.167624,,,,,,,,17,,,,-59.64962,33.38284,11.90637,-0.2235457,0.04356932,0.1609082,3.16914
-9.39006,5.372991,,,,,,,,17.2,,,,2.029804,12.85016,19.68465,0.009054747,0.1822135,0.331244,3.16668
-9.369347,5.585157,,,,,,,,17.4,,,,-1.196622,-21.21263,2.594836,-0.0628506,-0.07755125,-0.3166499,3.16384
-9.355392,5.796011,,,,,,,,17.6,,,,-3.937983,33.54899,11.01476,-0.06796387,-0.02338255,-0.323148,3.15911
-9.350139,6.000125,,,,,,,,17.8,,,,28.94398,-4.861666,16.95813,-0.0320112,-0.1333178,0.4565724,3.15319
-9.354797,6.191916,,,,,,,,18,,,,-12.44889,20.52741,14.43991,0.05613944,-0.003408846,0.4755341,3.14437
-9.366152,6.385916,,,,,,,,18.2,,,,-5.40084,4.787925,12.98088,-0.1923868,-0.2171009,-0.05789712,3.13002
-9.358113,6.562056,,,,,,,,18.4,,,,32.28964,18.02882,8.077558,0.02024002,0.04671185,-0.3124421,3.12325
-9.335438,6.760538,,,,,,,,18.6,,,,11.04014,-21.7135,6.1689,-0.008309063,-0.4336691,-0.285917,3.10576
-9.311482,6.966837,,,,,,,,18.8,,,,-42.62589,12.29758,21.10441,-0.07627293,-0.2387258,-0.3523362,3.09506
